526042, 532733
768173, 768169
11884, 750655
761303, 857786
362851, 362059
477151, 477149
662956, 662954
820095, 820091
306085, 269686
483614, 480506
901408, 901424
293542, 233003
266098, 266094
366077, 731798
845585, 845589
863616, 654129
322551, 322549
211368, 211365
697950, 697875
482319, 480663
606508, 29232
715959, 715955
513137, 174681
384930, 385947
920547, 921122
111390, 111394
699810, 528130
916177, 596922
84124, 84141
448061, 448059
414547, 414537
223, 864779
648253, 648251
608734, 608740
327810, 198632
722879, 533756
904664, 240439
299733, 255021
718205, 718203
350442, 350436
826786, 514696
195984, 195978
38201, 38203
649010, 649002
6488, 530508
421146, 421142
374091, 731630
287765, 261532
478584, 609032
944324, 944333
129383, 129389
705604, 705606
314245, 314243
827148, 827150
153788, 153792
21577, 10971
875257, 875255
534044, 466055
258066, 258064
873438, 540706
356288, 189524
190440, 190438
245404, 245410
692774, 692760
693684, 693688
526751, 526757
628107, 753692
310223, 310229
52189, 52190
734466, 734468
901519, 468204
261193, 261191
674866, 674863
240792, 240788
834786, 675558
833779, 833777
432163, 432167
792094, 792092
481370, 481368
528106, 820853
653363, 653357
808939, 808909
12348, 612797
786967, 786969
506518, 502350
778592, 476031
681416, 681420
847376, 847372
529462, 530472
674858, 674855
180328, 176851
642404, 642406
659021, 659027
373300, 373209
137301, 137305
507188, 507187
40846, 40845
342487, 342493
79046, 588633
303273, 247580
